"Planet Name","Pl. Mass","Pl. Radius","Pl. Period",
"TrES-1 ","0.761","1.099","3.0300722",
"TrES-2 ","1.253","1.169","2.470614",
"TrES-3 ","1.91","1.305","1.30618608",
"TrES-4 ","0.917","1.706","3.5539268",
"TrES-5 ","1.778","1.209","1.4822446",
"WASP-1 b","0.86","1.484","2.5199464",
"WASP-10 b","3.06","1.08","3.0927616",
"WASP-11/HAT-P-10 b","0.46","1.045","3.722469",
"WASP-12 b","1.404","1.736","1.0914222",
"WASP-13 b","0.485","1.365","4.353011",
"WASP-14 b","7.341","1.281","2.2437661",
"WASP-15 b","0.542","1.428","3.7520656",
"WASP-16 b","0.855","1.008","3.1186009",
"WASP-17 b","0.486","1.991","3.735438",
"WASP-18 b","10.43","1.165","0.9414518",
"WASP-19 b","1.168","1.386","0.78884",
"WASP-2 b","0.847","1.079","2.15222144",
"WASP-20 b","0.3","0.9","4",
"WASP-21 b","0.3","1.21","4.322506",
"WASP-22 b","0.588","1.158","3.5327313",
"WASP-23 b","0.884","0.962","2.9444256",
"WASP-24 b","1.032","1.104","2.3412083",
"WASP-25 b","0.58","1.26","3.76483",
"WASP-26 b","1.028","1.281","2.7566004",
"WASP-28 b","0.91","1.12","3.408821",
"WASP-29 b","0.244","0.792","3.922727",
"WASP-3 b","2.06","1.454","1.8468372",
"WASP-31 b","0.478","1.537","3.405909",
"WASP-32 b","3.6","1.18","2.71865",
"WASP-33 b","4.59","1.438","1.21986967",
"WASP-34 b","0.59","1.22","4.3176782",
"WASP-35 b","0.72","1.32","3.161575",
"WASP-36 b","2.279","1.269","1.5373653",
"WASP-37 b","1.696","1.136","3.577471",
"WASP-38 b","2.712","1.079","6.871815",
"WASP-39 b","0.28","1.27","4.055259",
"WASP-4 b","1.1215","1.363","1.33823187",
"WASP-41 b","0.92","1.21","3.052394",
"WASP-42 b","0.6","1","5",
"WASP-43 b","1.78","0.93","0.813475",
"WASP-44 b","0.889","1.14","2.4238039",
"WASP-45 b","1.007","1.16","3.1260876",
"WASP-46 b","2.101","1.31","1.43037",
"WASP-47 b","1.1","1.2","4.1",
"WASP-48 b","0.98","1.67","2.143634",
"WASP-49 b","0.4","1.3","2.8",
"WASP-5 b","1.637","1.171","1.6284246",
"WASP-50 b","1.468","1.153","1.9550959",
"WASP-52 b","0.5","1.3","1.7",
"WASP-53 b","2.5","1.2","3.3",
"WASP-54 b","0.6","1.4","3.7",
"WASP-55 b","0.6","1.4","4.5",
"WASP-56 b","0.6","1.2","4.6",
"WASP-57 b","0.8","1.1","2.8",
"WASP-58 b","1.1","1.3","5",
"WASP-59 b","0.7","0.9","7.9",
"WASP-6 b","0.503","1.224","3.361006",
"WASP-60 b","0.5","0.9","4.3",
"WASP-61 b","1.7","1.4","3.8",
"WASP-62 b","0.5","1.5","4.4",
"WASP-63 b","0.3","1","4.4",
"WASP-64 b","1.2","0.7","1.6",
"WASP-65 b","1.6","1.3","2.3",
"WASP-66 b","1.9","1.5","4.1",
"WASP-67 b","0.4","1.7","4.6",
"WASP-68 b","0.8","0.9","5.1",
"WASP-69 b","0.3","1","3.9",
"WASP-7 b","0.96","1.33","4.9546416",
"WASP-70 b","0.6","0.8","3.7",
"WASP-8 b","2.244","1.038","8.158715",
"XO-1 b","0.9","1.184","3.9415128",
"XO-2 b","0.62","0.973","2.615838",
"XO-3 b","11.79","1.217","3.1915239",
"XO-4 b","1.72","1.34","4.1250823",
"XO-5 b","1.077","1.03","4.1877537",
